Date,Y_test,Y_LSTM
2022-12-07,16848.126953124996,11490.9375
2022-12-08,17233.474609375,11214.404
2022-12-09,17133.15234375,10987.407
2022-12-10,17128.724609374996,10856.236
2022-12-11,17104.193359374996,10795.941
2022-12-12,17206.437499999993,10826.494
2022-12-13,17781.318359374996,10822.321
2022-12-14,17815.650390625,11000.394
2022-12-15,17364.865234374996,11191.38
2022-12-16,16647.484375,11273.261
2022-12-17,16795.091796875,11372.358
2022-12-18,16757.976562499996,11482.381
2022-12-19,16439.679687499996,11641.337
2022-12-20,16906.304687499996,11814.93
2022-12-21,16817.53515625,12091.01
2022-12-22,16830.341796874996,12466.236
2022-12-23,16796.953124999993,12986.078
2022-12-24,16847.755859374996,13539.035
2022-12-25,16841.986328125,14002.5205
2022-12-26,16919.804687499996,14315.893
2022-12-27,16717.173828124996,14618.217
2022-12-28,16552.572265624993,14669.771
2022-12-29,16642.341796874996,14489.09
2022-12-30,16602.585937499996,14414.829
2022-12-31,16547.496093749996,14241.443
2023-01-01,16625.080078125,14103.848
2023-01-02,16688.470703124996,14097.751
2023-01-03,16679.857421875,13837.847
2023-01-04,16863.238281249993,13483.339
2023-01-05,16836.736328125,13083.232
2023-01-06,16951.968749999996,12799.705
2023-01-07,16955.078125,12451.366
2023-01-08,17091.144531249996,12157.621
2023-01-09,17196.5546875,11940.977
2023-01-10,17446.292968749996,11801.897
2023-01-11,17934.896484375,11769.417
2023-01-12,18869.587890624996,11796.194
2023-01-13,19909.574218749996,11815.189
2023-01-14,20976.298828125,11892.124
2023-01-15,20880.798828125,11962.977
2023-01-16,21169.632812499996,12153.995
2023-01-17,21161.51953125,12291.8545
2023-01-18,20688.781249999996,12500.541
2023-01-19,21086.79296875,12826.199
2023-01-20,22676.552734374996,13138.093
2023-01-21,22777.625,13321.614
2023-01-22,22720.416015624996,13458.599
2023-01-23,22934.431640625,13606.209
2023-01-24,22636.46875,13997.446
2023-01-25,23117.859375,14110.138
2023-01-26,23032.77734375,14296.725
2023-01-27,23078.728515625,14517.064
2023-01-28,23031.089843749996,14211.7705
2023-01-29,23774.56640625,14087.828
2023-01-30,22840.138671875,13935.545
2023-01-31,23139.283203124996,13823.38
2023-02-01,23723.769531249996,13764.665
2023-02-02,23471.87109375,13731.289
2023-02-03,23449.322265625,13799.434
2023-02-04,23331.84765625,14020.682
2023-02-05,22955.666015624996,14163.657
2023-02-06,22760.109375,14238.076
2023-02-07,23264.291015624996,14400.961
2023-02-08,22939.3984375,14637.192
2023-02-09,21819.0390625,14878.728
2023-02-10,21651.18359375,14788.908
2023-02-11,21870.874999999996,14818.038
2023-02-12,21788.203124999996,14891.698
2023-02-13,21808.101562499996,15117.952
2023-02-14,22220.8046875,15098.506
2023-02-15,24307.841796875,15246.753
2023-02-16,23623.474609375,15372.758
2023-02-17,24565.6015625,15441.965
2023-02-18,24641.277343749996,15724.884
2023-02-19,24327.642578125,16223.487
2023-02-20,24829.148437499996,16720.0
2023-02-21,24436.353515624996,17218.658
2023-02-22,24188.84375,17588.635
2023-02-23,23947.4921875,17779.994
2023-02-24,23198.126953125,18773.805
2023-02-25,23175.375,19154.865
2023-02-26,23561.212890625,20497.012
2023-02-27,23522.87109375,22427.16
2023-02-28,23147.353515625,23879.197
2023-03-01,23646.550781249996,25683.506
2023-03-02,23475.466796875,28226.799
2023-03-03,22362.6796875,30207.477
2023-03-04,22353.349609374996,30999.03
2023-03-05,22435.513671875,31187.014
2023-03-06,22429.757812499996,31196.453
2023-03-07,22219.769531249996,31226.717
2023-03-08,21718.080078124996,30898.242
2023-03-09,20363.021484375,30552.53
2023-03-10,20187.244140625,30603.127
2023-03-11,20632.41015625,31187.916
2023-03-12,22163.94921875,31247.594
